"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"797201835","797198970","739293","","","2008-04-26 02:25:14 +0000","web","@courosa still have 3 students who haven't send me their final projects.....would you just submit their marks as is?"
"797198021","","","","","2008-04-26 02:17:18 +0000","<a href=""http://alexking.org/projects/wordpress"" rel=""nofollow"">Twitter Tools</a>","Hot off the press: Minor Renovations http://tinyurl.com/5uu7w8"
"797197936","797195972","739293","","","2008-04-26 02:17:05 +0000","web","@courosa were you able to send off that DVD of my students?"
"797192089","797184861","5572682","","","2008-04-26 02:04:49 +0000","web","@cathyjo she'd never let me....seriously. She does have other jobs and I'll get to them later.....busy writing a blog post right now."
"797175398","","","","","2008-04-26 01:28:18 +0000","web","upgrading to WP 2.5.1"
"797173014","","","","","2008-04-26 01:22:46 +0000","web","the smell of paint in the next room is distracting."
"797084939","797081983","12162982","","","2008-04-25 22:22:24 +0000","web","@schwier If only you'd have ask me earlier...."
"797060088","","","","","2008-04-25 21:37:08 +0000","web","@injenuity ""touch 'em all""  for your last 2 tweets."
"797051234","","","","","2008-04-25 21:21:17 +0000","web","My wife told me she has ""big plans"" for me tomorrow. If anyone wants me to give a free workshop tomorrow I'll do it. Help me please!"
"797033413","","","","","2008-04-25 20:52:04 +0000","web","my colleague makes the worst coffee."
"797013896","797008922","739293","","","2008-04-25 20:21:08 +0000","web","@courosa hello from 45 minutes West....will talk to you soon."
"797010103","","","","","2008-04-25 20:15:12 +0000","web","It's Friday afternoon, you notice an email alert that is likely going to upset you. Do you read it or wait till Monday?"
"797007578","797007543","9747582","","","2008-04-25 20:11:12 +0000","web","@KevG link?  I'd love to find out more."
"797007212","797004115","12363792","","","2008-04-25 20:10:38 +0000","web","@jonbecker just the opposite for us. ET and curriculum are one in the same where I work. IT is outside of that."
"797000776","","","","","2008-04-25 20:00:18 +0000","web","Working on a presentation for Tlt http://www.tltsummit.ca/ ""ET call IT""...how educators and IT departments can play nice."
"796858877","","","","","2008-04-25 16:36:31 +0000","web","I would pay someone to rewrite a grant for me.  My boss has sent it back to me 3 times. I suck at grant writing."
"796498191","796497874","790852","","","2008-04-25 05:11:32 +0000","web","@kwhobbes bring friends."
"796496424","796495316","790852","","","2008-04-25 05:07:31 +0000","web","@kwhobbes plan on coming to Moose Jaw on August 25th to spend the day with Ewan Mcintosh. Serious"
"796490108","796482296","7010142","","","2008-04-25 04:53:24 +0000","web","@smartinez Don Sutton #20. Great overhand curve ball. I""m dating myself."
"796488967","","","","","2008-04-25 04:50:45 +0000","web","everytime my stinkin' dog goes outside I have to clean her paws. Why do I allow this? http://tinyurl.com/66q8u4"
"796482314","796476167","8870632","","","2008-04-25 04:36:00 +0000","web","@garystager Hall does on Discovery but back then I don't think Thronburg did. I subscribed as soon as he started"
"796479446","796476167","8870632","","","2008-04-25 04:30:04 +0000","web","@garystager agreed. that wasn't exactly my point back then but certainly many don't walk the walk."
"796468008","","","","","2008-04-25 04:06:32 +0000","web","""Dunder Mifflin's Social Networking site was infiltrated by sexual predators"" The Office"
"796466854","","","","","2008-04-25 04:04:09 +0000","web","glad I PVR'd the Office..watching now"
"796464171","796463260","2697071","","","2008-04-25 03:59:01 +0000","web","@cchausis good to know....thanks."
"796461523","796461224","2697071","","","2008-04-25 03:53:42 +0000","web","@cchausis so is it as wonderful as we are led to believe? I truly want to know"
"796455567","796447998","8870632","","","2008-04-25 03:41:33 +0000","web","@garystager I asked that question 2 years ago http://snipurl.com/25pt7  [ideasandthoughts_org] One is a comrade of yours and now blogs."
"796450034","796447998","8870632","","","2008-04-25 03:30:48 +0000","web","@garystager just interested in his response and hope to rattle his cage. Never seen that."
"796446271","796397286","10114842","","","2008-04-25 03:23:35 +0000","web","@rdelorenzo  as I wrote in the post...I could care about which tool....others seem pretty passionate about it."
"796445208","796443096","6581222","","","2008-04-25 03:21:33 +0000","web","@djakes...what @garystager said."
"796443755","","","","","2008-04-25 03:18:51 +0000","web","trouble shooting with a student via Skype..getting her to download lame_enc.dll to export mp3"
"796442221","796439595","6066612","","","2008-04-25 03:16:02 +0000","web","@KarenJan Have you seen Ms. Dewey?  http://www.msdewey.com/ I quite like her."
"796441483","796439829","5926752","","","2008-04-25 03:14:36 +0000","web","@glassbeed I've blocked him."
"796437774","796436820","2697071","","","2008-04-25 03:07:43 +0000","web","@cchausis so are you from the famous ""DuFour"" school? What's that like?"
"796435333","796434214","6039372","","","2008-04-25 03:03:13 +0000","web","@byndpdcstng certainly. and keep  your head up, no need to apologize."
"796432274","","","","","2008-04-25 02:57:46 +0000","web","Just ate supper, full evening. Couch time."
"796205866","","","","","2008-04-24 20:11:16 +0000","web","Free Math software for your mobile phone Downloads | Math4Mobile http://tinyurl.com/5wur8a via www.diigo.com/~shareski"
"796087972","796082313","7488992","","","2008-04-24 17:06:51 +0000","web","@bobsprankle good to have you back."
"796077058","796075633","7770062","","","2008-04-24 16:50:55 +0000","web","@briancsmith what's the solution?"
"796072246","","","","","2008-04-24 16:44:09 +0000","web","Why do teachers (including myself) disdain data driven decisions and measurable outcomes? Describe in 140 or less."
"796071135","795915602","6859152","","","2008-04-24 16:42:27 +0000","web","@markwagner...happy birthday...treat yourself and stay away from your Doctoral work."
"796061308","796060130","10298552","","","2008-04-24 16:28:07 +0000","web","@datruss NO. ""measurable outcomes"" is all the rage. If you can't quantify it, it apparently isn't important."
"796052078","","","","","2008-04-24 16:15:11 +0000","web","Does anyone have a blank CD? Only can find DVD's in the office."
"795721918","795721486","739293","","","2008-04-24 06:09:17 +0000","web","@courosa can't enjoy your tunes blocked at my house. Seriously still can't access itunes store outside of my school division"
"795720136","","","","","2008-04-24 06:05:07 +0000","web","I was way too soft on my students...11th hour hand in of assignments. I'll do better next time."
"795717693","795717493","9978622","","","2008-04-24 05:59:36 +0000","web","@skydaddy I sort of deserved it...I can do better, so I rewrote it."
"795711493","","","","","2008-04-24 05:44:36 +0000","web","got my hand slapped for writing a poor grant proposal. Ouch!"
"795649314","795589086","7194212","","","2008-04-24 03:32:27 +0000","web","@ jessmcculloch @kwhobbes is one of the best and here's another from my district http://mohjoe.edublogs.org/"
